Row	Reel	Side	File	Start	End	Duration	NID	Title	DisType	TapeDuration	Genre	Sequence	Translation Available?	Include 3 transcriptions	Translation filename	Status	Comments	Prob?	TapeStart	TapeEnd	TapeLength	StartD	EndD			DurD	Ratio		Notes
128	4	1	7_3	00:00	02:48	02:48	120	The three lazy men and the princess	story	438-470	6	2	Y	Y	120_discussion_of_lahu_customs.rtf, 120_the_lazy_men_and_the_princess.rt	Entered	Same speaker, same story as no. 83		438	470	32	0.0	168.0	x	120	168.0	0.19		
129	4	1	7_3	02:50	04:30	01:39	121	The smoker and the non-smoker dispute a pipe		471-490	7	9	Y	Y	121_a_smoker_and_a_non_smoker_dispute_a_pipe.rtf 	Entered	Cf. no. 82a		471	490	19	170.0	270.0	x	121	99.0	0.19		
130	4	1	7_3	04:30	15:41	11:09	122	Church service		491-636	17	9		Y	(needs checking)	Entered			491	636	145	270.0	941.0	x	122	669.0	0.22		
131	4	1	8_1	00:00	14:17	14:17	123	The institution of the village headman	discussion	638-903	1	10	Y	Y	123_the_institution_of_the_village_headman.rtf 	Entered	Badly recorded from 835 to end; re-recorded by collector and chief informant (835-890)	x	638	903	265	0.0	857.0	x		857.0	0.31		
132	4	2	8_2	00:00	16:37	16:37	124	Discussion of Lahu customs; hill-life vs. life in the plains		009-147	1	11	Y	Y	124_discussion_of_lahu_customs.rtf 	Unusable	Badly recorded		9	147	138	0.0	997.0	x		997.0	0.14		
133	4	2	8_2	16:37	18:47	02:09	125	Headman's welcome to the New Rice Festival		148-167	1	12	Y	Y	125_church_service.rtf, 125_headmans_welcome_to_the_new_rice_festival.rt	Entered			148	167	19	997.0	1127.0	x	125	129.0	0.15		
134	4	2	8_2	18:49	30:33	11:43	126	Playing ball and spinning the top	playlets	167-276	4	12	Y	Y	126_playing_ball_at_new_rice_festival.rtf 	Entered	Poorly recorded		167	276	109	1129.0	1833.0	x		703.0	0.16		
135	4	2	8_3	00:00	11:26	11:26	127	Founding a new village		292-412	1	13	Y	Y	127_founding_a_new_village.rtf 	Entered	Badly recorded, but included anyway		292	412	120	0.0	686.0	x		686.0	0.17		
136	4	2	8_3	11:30	13:36	02:05	128	The widow and the head child	story	413-447	6	3	Y	Y	128_the_widow_and_her_head_child.rtf 	Entered			413	447	34	690.0	816.0	x	128	125.0	0.27		
137	4	2	8_3	14:37	15:30	00:53	129	The boastful cock and the hawk	fable	447-458	12	9	Y	Y	129_the_boastful_cock_and_the_hawk.rtf 	Entered	PLB fable		447	458	11	877.0	930.0	x	129	53.0	0.21		
138	4	2	8_3	15:35	16:04	00:29	130	Hunting crabs with granny		459-464	9	10	Y	Y	130_hunting_crabs_with_granny.rtf 	Entered			459	464	5	935.0	964.0	x	130	29.0	0.17		
139	4	2	8_3	16:07	21:11	05:03	131	Harvesting rice and catching crabs	women's dialogue	465-525	4	13	Y	Y	131_struggling_to_survive_with_lazy_husbands.rtf, 131_struggling_to_survive_with_lazy_husbands_harvesting_rce__catching_crabs.rt	Entered			465	525	60	967.0	1271.0	x	131	303.0	0.20		
140	4	2	9_1	00:00	01:54	01:54	132	The widow with a snake for a son-in-law	story	526-550	6	4	Y	Y	132_the_widow_with_a_snake_for_a_son-in-law.rtf	Entered	See nos. 133 and 141a		526	550	24	0.0	114.0		132	114.0	0.21		
141	4	2	9_1	01:56	05:03	03:07	133	Retelling of No. 132		551-592	1	5		Y	133_the_snake_and_the_widow_s_daughters.rtf 	Entered	Retold by Paul with Lahu fair copy; also cf. 141a		551	592	41	116.0	303.0	x		187.0	0.22		
142	4	1	9_2	00:00	02:57	02:57	134	Song:  "I remember thee, Jerusalem"		008-031	19	14	Y	Y	134_i_long_for_thee__jerusalem.rtf 	Entered			8	31	23	0.0	177.0	x		177.0	0.13		
143	4	1	9_2	02:58	09:41	06:43	135	Sermon		032-090	17		Y	Y	135_sermon__ca_bo_.rtf 	Entered			32	90	58	178.0	581.0	x	135	403.0	0.14		
144	4	1	9_2	09:43	13:37	03:52	137	Man escapes from the primeval gourd	myth	091-125	5	2	Y	Y	137_mans_primeval_gourd_goes_missing_and_god_looks_for_it.rtf 	Entered	Cf. no. 74		91	125	34	583.0	817.0	x	137	232.0	0.15		
145	4	1	9_2	13:39	16:19	02:39	138	Hymn		126-151	19	15		Y		Defer			126	151	25	819.0	979.0	x		159.0	0.16		
146	4	1	9_2	16:22	22:45	06:23	139	God struggles with the titan	myth	151-213	5	3	Y	Y	139_god_struggles_with_the_titan.rtf 	Entered			151	213	62	982.0	1365.0	x	139	383.0	0.16		
147	4	1	9_3	00:00	01:23	01:23	140	The pig and the dog		279-293	5			Y	140_the_pig_and_the_dog.rtf	Entered	Yellow Lahu		279	293	14	0.0	83.0	x		83.0	0.17		
148	4	1	9_3	01:26	02:00	00:34	141	The flea and the louse		294-300	6	5		Y	141_the_flea_and_the_louse.rtf	Entered	Yellow Lahu		294	300	6	86.0	120.0	x		34.0	0.18		
149	4	1	9_3	02:04	15:58	13:54	141a	The widow with a snake for a son-in-law	story	301-469	6		Partial	Y	(missing)	Defer	Only beginning is transcribed; same story as 133		301	469	168	124.0	958.0	x		834.0	0.20		
150	4	1	10_1	00:00	02:16	02:16	142	Folk medicine	monologue	519-549	2	10		Y		Defer	Red Lahu		519	549	30	0.0	136.0	x		136.0	0.22		
151	4	1	10_1	02:17	03:35	01:17	143	New Year's celebrations	monologue	550-568	2	11		Y		Defer	Red Lahu		550	568	18	137.0	215.0	x		77.0	0.23		
152	4	1	10_1	03:37	05:15	01:37	144	New Year's (cont'd)	monologue	569-593	2	11		Y		Defer	Red Lahu		569	593	24	217.0	315.0	x		97.0	0.25		
153	4	1	10_1	05:19	06:07	00:47	145	Cleaning up the village after New Year's	monologue	594-605	2	12		Y		Defer	Red Lahu		594	605	11	319.0	367.0	x		47.0	0.23		
154	4	1	10_1	06:13	07:00	00:46	146	Driving away the spirit of illness	monologue	607-618	13	6		Y		Defer	Red Lahu		607	618	11	373.0	420.0	x		46.0	0.24		
155	4	1	10_1	07:01	08:01	01:00	147	Getting married	monologue	619-635	2			Y		Defer	Red Lahu		619	635	16	421.0	481.0	x		60.0	0.27		
156	4	1	10_1	08:03	10:18	02:15	148	Building a house	monologue	636-649	2	14		Y		Defer	Red Lahu		636	649	13	483.0	618.0	x		135.0	0.10		
157	4	1	10_1	10:18	11:07	00:48	149	Things that I use	monologue	650-686	2	15		Y	149_things_that_i_use.rtf	Entered	Red Lahu (but converted to BL)		650	686	36	618.0	667.0	x		48.0	0.75		
158	4	1	10_1	11:07	11:56	00:48	150	Going fishing	monologue	687-700	4	14		Y	150_going_fishing.rtf	Entered	Red Lahu		687	700	13	667.0	716.0	x		48.0	0.27		
159	4	1	10_1	11:56	12:41	00:44	151	Going hunting	monologue	701-714	4	15		Y	151_going_hunting.rtf	Entered	Red Lahu		701	714	13	716.0	761.0	x		44.0	0.30		
160	4	1	10_1	12:43	14:03	01:21	152	Jews harp music		715-739	16	2		Y	(instrumental)	Defer	Red Lahu		715	739	24	763.0	843.0	x		81.0	0.30		
161	4	1	10_1	14:05	15:49	01:44	153	Courtship songs		740-772	15	6		Y	(missing)	Defer	Red Lahu		740	772	32	845.0	949.0	x		104.0	0.31		
162	4	1	10_1	15:50	16:32	00:42	154	Courting a girl	monologue	773-788	1	14		Y		Defer	Red Lahu		773	788	15	950.0	992.0	x		42.0	0.36		
163	4	1	10_1	16:33	18:26	01:53	155	Love-songs		789-827	15	7		Y	(missing)	Defer	Red Lahu		789	827	38	993.0	1106.0	x		113.0	0.34		
164	4	1	10_1	18:30	20:32	02:02	156	Simple dialogue		828-876	15			Y	156_simple_dialogue.rtf	Entered	Red Lahu		828	876	48	1110.0	1232.0	x		122.0	0.39		
165	5	2	10_2	00:00	01:39	01:39	156a	Continuation of No. 156		241-268	15			Y	(what is this?)	Defer	Red Lahu		241	268	27	0.0	99.0	x		99.0	0.27		
166	5	2	10_2	01:41	46	00:48	157	I'm feeling sad	monologue	011-017	2		Y	Y	157_im_feeling_sad.rtf 	Entered	Red Lahu; chanting style		11	17	6	101.0	0.0	x		48.0	0.13		
167	5	2	10_2	02:30	15:17	12:46	158	Conversation: Problems of slash-and-burn agriculture in modern Thailand		037-153	1	15	Y	Y	158_problems_of_slash_and_burn_agriculture.rtf 	Entered	From 128-148 singing is audible in the background		37	153	116	150.0	917.0	x	158	766.0	0.15		
168	5	2	10_2	15:17	24:51	09:33	159	The Lahu agricultural cycle	discussion	154-240	1	16		Y	159_lahu_agricultral_cycle.rtf	Entered			154	240	86	917.0	1491.0	x		573.0	0.15		
169	5	2	11_1	00:00	09:35	09:35	160	Six traditional love songs		268-369	15	8		Y	160_six_traditional_lovesongs.rtf	Entered	Some in Yellow Lahu		268	369	101	0.0	575.0	x	160	575.0	0.18		
170	5	2	11_1	09:37	14:00	04:22	161	Hunting tales		371-424	4	16		Y	161_hunting_tales.rtf	Entered			371	424	53	577.0	840.0		161	262.0	0.20		
171	5	2	11_2	00:05	02:14	02:08	162	The blind man, the cripple, and the turtles		424-450	6	6		Y	162_the_blind_man_the_cripple_and_the_turtles.rtf	Entered			424	450	26	5.0	134.0		162	128.0	0.20		
172	5	2	11_2	02:17	07:10	04:52	163	The orphan and the magic frog	story	451-524	6	7		Y	163_the_orphan_and_the_magic_frog.rtf	Entered	Inaudible from 493 to 524		451	524	73	137.0	430.0		163	292.0	0.25		
173	5	2	11_2	07:15	09:00	01:45	164	The blind man, the cripple, and the treasure trove		525-550	6	8		Y	164_the_blind_man_the_cripple_and_the_treasure_trove.rtf	Entered			525	550	25	435.0	540.0		164	105.0	0.24		
174	5	2	11_3	00:16	04:06	03:50	165	The orphan's riddles and the traders	story	570-627	8	12	Y	Y	165_the_orphan_s_riddes_and_the_traders.rtf, 165_conversation_between_paul__cabo__and_thu_yi.rtf 	Entered			570	627	57	16.0	246.0	x	165	230.0	0.25		
175	5	2	11_3	04:10	10:50	06:40	166	The wicked older brother and the good younger brother	story	626-742	6	9	Y	Y	166_the_wicked_older_brother_and_the_good_younger_brother_.rtf 	Entered			626	742	116	250.0	650.0	x	166	400.0	0.29		
176	5	2	11_3	10:56	12:07	01:10	167	Two modern love songs		745-764	11	10		Y	167_two_modern_lovesongs.rtf	Entered			745	764	19	656.0	727.0	x	167	70.0	0.27		
177	5	2	11_3	12:09	13:29	01:19	168	Jews harp music		768-793	16	3		Y	(instrumental)	Defer			768	793	25	729.0	809.0	x		79.0	0.32		
178	5	2	11_3	13:35	14:20	00:45	169	Song		797-811	11	11		Y	169_Song_We_must_part.rtf	Entered			797	811	14	815.0	860.0	x	169	45.0	0.31		
179	5	2	11_3	14:22	15:05	00:43	170	Jews harp music		813-827	16	4		Y	(instrumental)	Defer			813	827	14	862.0	905.0	x		43.0	0.33		
180							200	Marriage prayers			13	8			200_marriage_prayers.rtf	Entered													
181							201	Eating the new rice			13	9			201_eating_the_new_rice.rtf	Entered													
182							202	Wandering soul			13	10			202_wandering_soul.rtf	Entered													
183							203	Spirit exorcism			13	11			203_spirit_exorcism.rtf	Entered													
184							204	Rite of divorce			13	12			204_rite_of_divorce.rtf	Entered													
185							205	Funerary chants I			13	13			205_funerary_chants_i.rtf	Entered													
186							206	Funerary chants II			13	14			206_funerary_chants_ii.rtf	Entered													
187							207	Prayer for game			13	15			207_prayer_for_game.rtf	Entered													
188							107b	The Tiger is Getting Ripe			10				107b_the_tiger_is_getting_ripe.rtf	Entered													
189							107a	Those Peppers are Really Hot!			10				107a_those_peppers_are_really_hot.rtf	Entered													
190							107d	A Sticky Problem			10				107d_a_sticky_problem.rtf	Entered													
191							107c	Fit to be Tied			10				107c_fit_to_be_tied.rtf	Entered													
192							58a	Song: Getting older			11				058a_song_getting_older.rtf	Entered													
193							208	Another antiphonal love song							208_another_antiphonal_love_song.rtf	Entered	"34"												
